1.140047	1.140047	
2.307698	2.307698	
3.508517	3.508517	
4.675485	4.675485	
5.209749	5.209749	
5.776991	5.776991	
6.911800	6.911800	
8.046595	8.046595	
9.147464	9.147464	
10.382171	10.382171	
10.915385	10.915385	
11.516009	11.516009	    
16.054223	16.054223	
17.189256	17.189256	
18.323337	18.323337	
19.491532	19.491532	
20.125136	20.125136	
20.693780	20.693780	
21.760038	21.760038	
22.894706	22.894706	
24.029235	24.029235	
25.230241	25.230241	
25.764129	25.764129	
26.398285	26.398285	
27.499851	27.499851	
28.633691	28.633691	
29.768496	29.768496	
30.969503	30.969503	
32.070793	32.070793	
33.204357	33.204357	
34.372263	34.372263	
34.940493	34.940493	
35.540858	35.540858	
36.642976	36.642976	
37.209827	37.209827	
37.809779	37.809779	
40.079527	40.079527	
41.213780	41.213780	
42.347206	42.347206	
43.448910	43.448910	
44.649779	44.649779	
45.751069	45.751069	
46.885461	46.885461	
48.019576	48.019576	
48.687246	48.687246	
49.254373	49.254373	
50.355526	50.355526	
51.488262	51.488262	
52.623619	52.623619	
53.725323	53.725323	
54.326102	54.326102	
54.893229	54.893229	
55.494284	55.494284	
56.094649	56.094649	
56.662052	56.662052	
57.796581	57.796581	
58.898147	58.898147	
60.065915	60.065915	
60.666143	60.666143	
63.235039	63.235039	
64.302677	64.302677	
65.403554	65.403554	
65.670842	65.670842	
66.572149	66.572149	
66.838335	66.838335	
67.706816	67.706816	
68.841208	68.841208	
69.975047	69.975047	
71.075924	71.075924	
71.743594	71.743594	
72.343960	72.343960	
73.411736	73.411736	
74.580331	74.580331	
75.680932	75.680932	
76.848562	76.848562	
77.449065	77.449065	
78.016330	78.016330	 
